P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004001,P004002,P004003,NAME,state,county,tract
4254,2748,300,6,469,0,513,218,4254,3633,621,"Census Tract 1, Suffolk County, Massachusetts",25,025,000100
3854,2918,276,8,327,2,209,114,3854,3447,407,"Census Tract 2.01, Suffolk County, Massachusetts",25,025,000201
3885,2620,330,17,527,1,270,120,3885,3289,596,"Census Tract 2.02, Suffolk County, Massachusetts",25,025,000202
2740,2150,131,6,298,0,84,71,2740,2550,190,"Census Tract 3.01, Suffolk County, Massachusetts",25,025,000301
3142,2472,96,2,453,0,56,63,3142,2913,229,"Census Tract 3.02, Suffolk County, Massachusetts",25,025,000302
5672,4244,144,6,1032,1,117,128,5672,5385,287,"Census Tract 4.01, Suffolk County, Massachusetts",25,025,000401
3648,2863,72,0,544,2,73,94,3648,3459,189,"Census Tract 4.02, Suffolk County, Massachusetts",25,025,000402
6303,5026,286,8,707,2,107,167,6303,5857,446,"Census Tract 5.02, Suffolk County, Massachusetts",25,025,000502
2211,1798,57,3,265,0,37,51,2211,2115,96,"Census Tract 5.03, Suffolk County, Massachusetts",25,025,000503
4985,4057,191,5,541,3,83,105,4985,4667,318,"Census Tract 5.04, Suffolk County, Massachusetts",25,025,000504
3571,2645,94,2,541,0,189,100,3571,3283,288,"Census Tract 6.01, Suffolk County, Massachusetts",25,025,000601
3974,2401,476,14,637,3,287,156,3974,3333,641,"Census Tract 6.02, Suffolk County, Massachusetts",25,025,000602
4446,3226,198,8,730,4,151,129,4446,4113,333,"Census Tract 7.01, Suffolk County, Massachusetts",25,025,000701
2791,1821,93,3,672,1,99,102,2791,2609,182,"Census Tract 7.03, Suffolk County, Massachusetts",25,025,000703
4801,3209,317,13,879,5,229,149,4801,4226,575,"Census Tract 7.04, Suffolk County, Massachusetts",25,025,000704
8136,4965,359,22,1572,3,846,369,8136,6670,1466,"Census Tract 8.02, Suffolk County, Massachusetts",25,025,000802
6584,4333,405,10,1415,1,133,287,6584,6008,576,"Census Tract 8.03, Suffolk County, Massachusetts",25,025,000803
4569,2800,148,5,1338,0,85,193,4569,4222,347,"Census Tract 101.03, Suffolk County, Massachusetts",25,025,010103
4804,3439,129,10,974,0,86,166,4804,4395,409,"Census Tract 101.04, Suffolk County, Massachusetts",25,025,010104
5569,3952,298,15,923,5,166,210,5569,5000,569,"Census Tract 102.03, Suffolk County, Massachusetts",25,025,010203
3173,2248,93,4,672,1,51,104,3173,2995,178,"Census Tract 102.04, Suffolk County, Massachusetts",25,025,010204
4861,3558,413,6,484,5,234,161,4861,4404,457,"Census Tract 103, Suffolk County, Massachusetts",25,025,010300
3003,1830,317,10,632,0,105,109,3003,2710,293,"Census Tract 104.03, Suffolk County, Massachusetts",25,025,010403
5817,4308,269,10,943,5,116,166,5817,5431,386,"Census Tract 104.04, Suffolk County, Massachusetts",25,025,010404
5522,4000,471,18,719,2,131,181,5522,5087,435,"Census Tract 104.05, Suffolk County, Massachusetts",25,025,010405
1426,1098,55,2,207,1,33,30,1426,1293,133,"Census Tract 104.08, Suffolk County, Massachusetts",25,025,010408
3044,2163,322,5,405,1,73,75,3044,2753,291,"Census Tract 105, Suffolk County, Massachusetts",25,025,010500
2858,2275,141,3,362,0,33,44,2858,2702,156,"Census Tract 106, Suffolk County, Massachusetts",25,025,010600
2478,2105,61,2,215,0,36,59,2478,2342,136,"Census Tract 107.01, Suffolk County, Massachusetts",25,025,010701
2400,2144,59,2,124,1,26,44,2400,2298,102,"Census Tract 107.02, Suffolk County, Massachusetts",25,025,010702
2783,2440,72,3,186,0,22,60,2783,2644,139,"Census Tract 108.01, Suffolk County, Massachusetts",25,025,010801
3059,2630,50,0,279,0,34,66,3059,2940,119,"Census Tract 108.02, Suffolk County, Massachusetts",25,025,010802
4193,3896,29,1,187,1,31,48,4193,4054,139,"Census Tract 201.01, Suffolk County, Massachusetts",25,025,020101
3649,3160,127,3,239,0,46,74,3649,3475,174,"Census Tract 202, Suffolk County, Massachusetts",25,025,020200
2023,1485,54,2,417,0,23,42,2023,1915,108,"Census Tract 203.01, Suffolk County, Massachusetts",25,025,020301
1181,1060,31,2,60,0,12,16,1181,1120,61,"Census Tract 203.02, Suffolk County, Massachusetts",25,025,020302
3400,2364,575,6,331,1,43,80,3400,3027,373,"Census Tract 203.03, Suffolk County, Massachusetts",25,025,020303
1954,1868,20,0,31,2,20,13,1954,1886,68,"Census Tract 301, Suffolk County, Massachusetts",25,025,030100
1665,1580,8,7,37,1,10,22,1665,1596,69,"Census Tract 302, Suffolk County, Massachusetts",25,025,030200
4872,4141,265,14,286,1,74,91,4872,4633,239,"Census Tract 303, Suffolk County, Massachusetts",25,025,030300
2451,2311,14,6,74,0,22,24,2451,2373,78,"Census Tract 304, Suffolk County, Massachusetts",25,025,030400
2538,2362,16,0,108,0,26,26,2538,2445,93,"Census Tract 305, Suffolk County, Massachusetts",25,025,030500
2168,2077,12,3,46,0,13,17,2168,2127,41,"Census Tract 401, Suffolk County, Massachusetts",25,025,040100
1606,1008,278,5,130,0,146,39,1606,1255,351,"Census Tract 402, Suffolk County, Massachusetts",25,025,040200
3882,3301,183,8,149,1,142,98,3882,3498,384,"Census Tract 403, Suffolk County, Massachusetts",25,025,040300
2439,2070,67,5,204,1,47,45,2439,2295,144,"Census Tract 404.01, Suffolk County, Massachusetts",25,025,040401
2444,2284,38,0,89,1,9,23,2444,2386,58,"Census Tract 406, Suffolk County, Massachusetts",25,025,040600
3900,2424,371,14,721,8,239,123,3900,3287,613,"Census Tract 408.01, Suffolk County, Massachusetts",25,025,040801
5115,2984,208,31,293,0,1295,304,5115,1975,3140,"Census Tract 501.01, Suffolk County, Massachusetts",25,025,050101
5231,3013,200,22,129,2,1518,347,5231,1804,3427,"Census Tract 502, Suffolk County, Massachusetts",25,025,050200
2251,1066,312,15,237,0,464,157,2251,1223,1028,"Census Tract 503, Suffolk County, Massachusetts",25,025,050300
2372,1639,90,9,67,0,458,109,2372,1168,1204,"Census Tract 504, Suffolk County, Massachusetts",25,025,050400
1857,1309,60,0,50,0,341,97,1857,861,996,"Census Tract 505, Suffolk County, Massachusetts",25,025,050500
2063,1278,57,8,46,1,522,151,2063,689,1374,"Census Tract 506, Suffolk County, Massachusetts",25,025,050600
4504,2451,124,34,88,7,1571,229,4504,1598,2906,"Census Tract 507, Suffolk County, Massachusetts",25,025,050700
4165,2772,99,19,93,0,981,201,4165,1461,2704,"Census Tract 509.01, Suffolk County, Massachusetts",25,025,050901
4089,3135,141,26,125,2,535,125,4089,2517,1572,"Census Tract 510, Suffolk County, Massachusetts",25,025,051000
6093,4425,420,35,233,1,739,240,6093,3918,2175,"Census Tract 511.01, Suffolk County, Massachusetts",25,025,051101
2379,1856,88,8,57,5,277,88,2379,1557,822,"Census Tract 512, Suffolk County, Massachusetts",25,025,051200
3216,3146,20,4,14,2,10,20,3216,3172,44,"Census Tract 601.01, Suffolk County, Massachusetts",25,025,060101
1916,1894,3,0,8,0,2,9,1916,1903,13,"Census Tract 602, Suffolk County, Massachusetts",25,025,060200
3076,2986,22,1,28,0,13,26,3076,3048,28,"Census Tract 603.01, Suffolk County, Massachusetts",25,025,060301
4904,4686,51,7,86,2,26,46,4904,4814,90,"Census Tract 604, Suffolk County, Massachusetts",25,025,060400
3571,3379,23,3,99,1,22,44,3571,3499,72,"Census Tract 605.01, Suffolk County, Massachusetts",25,025,060501
2357,2110,33,7,150,1,17,39,2357,2265,92,"Census Tract 606, Suffolk County, Massachusetts",25,025,060600
1893,572,489,5,194,0,493,140,1893,1016,877,"Census Tract 607, Suffolk County, Massachusetts",25,025,060700
3964,3630,43,11,183,1,46,50,3964,3858,106,"Census Tract 608, Suffolk County, Massachusetts",25,025,060800
3098,1526,597,16,346,0,435,178,3098,2203,895,"Census Tract 610, Suffolk County, Massachusetts",25,025,061000
2232,810,607,20,313,6,340,136,2232,1297,935,"Census Tract 611.01, Suffolk County, Massachusetts",25,025,061101
3240,2842,88,2,224,3,39,42,3240,3084,156,"Census Tract 612, Suffolk County, Massachusetts",25,025,061200
5902,3753,299,3,1606,4,90,147,5902,5542,360,"Census Tract 701.01, Suffolk County, Massachusetts",25,025,070101
5218,1829,198,4,3041,1,55,90,5218,5058,160,"Census Tract 702, Suffolk County, Massachusetts",25,025,070200
3909,3091,110,4,568,1,44,91,3909,3748,161,"Census Tract 703, Suffolk County, Massachusetts",25,025,070300
1723,154,239,2,1206,0,81,41,1723,1565,158,"Census Tract 704.02, Suffolk County, Massachusetts",25,025,070402
5460,3422,465,19,938,1,436,179,5460,4390,1070,"Census Tract 705, Suffolk County, Massachusetts",25,025,070500
2240,1902,96,3,130,1,49,59,2240,2126,114,"Census Tract 706, Suffolk County, Massachusetts",25,025,070600
2361,1397,586,7,235,0,45,91,2361,2167,194,"Census Tract 707, Suffolk County, Massachusetts",25,025,070700
3706,2479,730,5,265,0,104,123,3706,3369,337,"Census Tract 708, Suffolk County, Massachusetts",25,025,070800
3329,1725,833,16,270,1,330,154,3329,2615,714,"Census Tract 709, Suffolk County, Massachusetts",25,025,070900
3753,2017,643,24,671,1,272,125,3753,3240,513,"Census Tract 711.01, Suffolk County, Massachusetts",25,025,071101
3131,1468,666,11,478,4,389,115,3131,2373,758,"Census Tract 712.01, Suffolk County, Massachusetts",25,025,071201
3350,1122,1537,18,44,0,470,159,3350,2408,942,"Census Tract 801, Suffolk County, Massachusetts",25,025,080100
1769,198,1155,19,16,0,290,91,1769,1261,508,"Census Tract 803, Suffolk County, Massachusetts",25,025,080300
2710,488,1536,28,67,0,383,208,2710,1726,984,"Census Tract 804.01, Suffolk County, Massachusetts",25,025,080401
3096,646,1673,11,101,3,494,168,3096,1767,1329,"Census Tract 805, Suffolk County, Massachusetts",25,025,080500
4271,2369,953,18,386,0,389,156,4271,3528,743,"Census Tract 806.01, Suffolk County, Massachusetts",25,025,080601
3885,1708,946,44,390,0,614,183,3885,2540,1345,"Census Tract 808.01, Suffolk County, Massachusetts",25,025,080801
4008,2748,360,10,660,4,97,129,4008,3695,313,"Census Tract 809, Suffolk County, Massachusetts",25,025,080900
4890,2512,799,35,929,3,402,210,4890,3940,950,"Census Tract 810.01, Suffolk County, Massachusetts",25,025,081001
4091,2231,951,11,555,2,200,141,4091,3483,608,"Census Tract 811, Suffolk County, Massachusetts",25,025,081100
3265,957,1172,39,85,0,743,269,3265,1545,1720,"Census Tract 812, Suffolk County, Massachusetts",25,025,081200
4760,937,2350,60,45,5,1025,338,4760,2499,2261,"Census Tract 813, Suffolk County, Massachusetts",25,025,081300
3003,830,1648,37,93,0,256,139,3003,2417,586,"Census Tract 814, Suffolk County, Massachusetts",25,025,081400
2134,336,1446,12,25,2,207,106,2134,1618,516,"Census Tract 815, Suffolk County, Massachusetts",25,025,081500
3820,262,2890,34,63,1,367,203,3820,3038,782,"Census Tract 817, Suffolk County, Massachusetts",25,025,081700
2898,216,2031,16,40,4,401,190,2898,2162,736,"Census Tract 818, Suffolk County, Massachusetts",25,025,081800
3115,263,2215,21,18,0,421,177,3115,2287,828,"Census Tract 819, Suffolk County, Massachusetts",25,025,081900
2815,172,2193,20,19,1,290,120,2815,2281,534,"Census Tract 820, Suffolk County, Massachusetts",25,025,082000
5025,400,3355,43,34,1,927,265,5025,3364,1661,"Census Tract 821, Suffolk County, Massachusetts",25,025,082100
4571,252,3487,39,32,2,536,223,4571,3542,1029,"Census Tract 901, Suffolk County, Massachusetts",25,025,090100
2233,224,1284,19,45,4,534,123,2233,1368,865,"Census Tract 902, Suffolk County, Massachusetts",25,025,090200
3179,317,2047,20,28,2,588,177,3179,2097,1082,"Census Tract 903, Suffolk County, Massachusetts",25,025,090300
3659,388,2155,43,36,3,713,321,3659,2454,1205,"Census Tract 904, Suffolk County, Massachusetts",25,025,090400
2348,233,1017,16,36,3,799,244,2348,1856,492,"Census Tract 906, Suffolk County, Massachusetts",25,025,090600
4275,2747,394,14,747,0,249,124,4275,3896,379,"Census Tract 907, Suffolk County, Massachusetts",25,025,090700
3730,1674,760,20,742,5,394,135,3730,2962,768,"Census Tract 909.01, Suffolk County, Massachusetts",25,025,090901
2742,1663,316,1,517,2,143,100,2742,2530,212,"Census Tract 910.01, Suffolk County, Massachusetts",25,025,091001
4861,2443,647,16,1217,9,320,209,4861,4395,466,"Census Tract 911, Suffolk County, Massachusetts",25,025,091100
3234,1161,858,11,198,6,725,275,3234,2537,697,"Census Tract 912, Suffolk County, Massachusetts",25,025,091200
2499,316,926,12,83,2,900,260,2499,1967,532,"Census Tract 913, Suffolk County, Massachusetts",25,025,091300
2741,413,1373,11,27,1,676,240,2741,1939,802,"Census Tract 914, Suffolk County, Massachusetts",25,025,091400
4370,626,1888,11,203,1,1209,432,4370,3453,917,"Census Tract 915, Suffolk County, Massachusetts",25,025,091500
3138,489,1079,9,813,0,526,222,3138,2652,486,"Census Tract 916, Suffolk County, Massachusetts",25,025,091600
3069,354,1595,26,127,0,690,277,3069,2437,632,"Census Tract 917, Suffolk County, Massachusetts",25,025,091700
3452,294,1947,17,60,0,890,244,3452,2739,713,"Census Tract 918, Suffolk County, Massachusetts",25,025,091800
3860,281,2917,35,12,0,417,198,3860,3036,824,"Census Tract 919, Suffolk County, Massachusetts",25,025,091900
4945,514,2885,17,470,10,687,362,4945,3894,1051,"Census Tract 920, Suffolk County, Massachusetts",25,025,092000
6451,2120,1493,25,2045,3,480,285,6451,5762,689,"Census Tract 921.01, Suffolk County, Massachusetts",25,025,092101
3349,859,1501,16,542,0,262,169,3349,2927,422,"Census Tract 922, Suffolk County, Massachusetts",25,025,092200
2893,160,2314,9,21,0,242,147,2893,2435,458,"Census Tract 923, Suffolk County, Massachusetts",25,025,092300
5277,410,3790,52,47,0,685,293,5277,3807,1470,"Census Tract 924, Suffolk County, Massachusetts",25,025,092400
5510,455,3910,25,53,4,809,254,5510,3907,1603,"Census Tract 1001, Suffolk County, Massachusetts",25,025,100100
2787,104,2319,14,27,0,208,115,2787,2374,413,"Census Tract 1002, Suffolk County, Massachusetts",25,025,100200
3303,180,2750,8,23,0,203,139,3303,2951,352,"Census Tract 1003, Suffolk County, Massachusetts",25,025,100300
4865,648,3461,21,235,0,269,231,4865,4408,457,"Census Tract 1004, Suffolk County, Massachusetts",25,025,100400
5989,1040,3545,40,572,2,489,301,5989,5021,968,"Census Tract 1005, Suffolk County, Massachusetts",25,025,100500
5154,2217,1542,9,844,2,346,194,5154,4676,478,"Census Tract 1006.01, Suffolk County, Massachusetts",25,025,100601
1904,1381,258,1,160,2,54,48,1904,1775,129,"Census Tract 1006.03, Suffolk County, Massachusetts",25,025,100603
4322,3901,157,8,167,0,46,43,4322,4221,101,"Census Tract 1007, Suffolk County, Massachusetts",25,025,100700
5546,3038,1461,16,622,1,165,243,5546,5134,412,"Census Tract 1008, Suffolk County, Massachusetts",25,025,100800
4072,1005,2462,5,281,3,161,155,4072,3722,350,"Census Tract 1009, Suffolk County, Massachusetts",25,025,100900
5480,251,4693,30,14,0,304,188,5480,4886,594,"Census Tract 1010.01, Suffolk County, Massachusetts",25,025,101001
4979,318,4040,35,54,3,312,217,4979,4286,693,"Census Tract 1010.02, Suffolk County, Massachusetts",25,025,101002
3155,68,2675,8,2,1,251,150,3155,2676,479,"Census Tract 1011.01, Suffolk County, Massachusetts",25,025,101101
4396,173,3849,25,26,3,192,128,4396,3875,521,"Census Tract 1011.02, Suffolk County, Massachusetts",25,025,101102
5460,2806,1089,42,395,2,820,306,5460,3714,1746,"Census Tract 1101.03, Suffolk County, Massachusetts",25,025,110103
2051,682,873,35,45,0,312,104,2051,1317,734,"Census Tract 1102.01, Suffolk County, Massachusetts",25,025,110201
2405,1227,681,18,61,0,305,113,2405,1713,692,"Census Tract 1103.01, Suffolk County, Massachusetts",25,025,110301
3566,1655,1047,16,93,6,543,206,3566,2257,1309,"Census Tract 1104.01, Suffolk County, Massachusetts",25,025,110401
4309,2539,1022,14,115,4,412,203,4309,3307,1002,"Census Tract 1104.03, Suffolk County, Massachusetts",25,025,110403
3253,2477,348,10,91,0,197,130,3253,2792,461,"Census Tract 1105.01, Suffolk County, Massachusetts",25,025,110501
3806,2496,681,16,115,0,339,159,3806,2930,876,"Census Tract 1105.02, Suffolk County, Massachusetts",25,025,110502
2969,2666,77,10,132,1,32,51,2969,2847,122,"Census Tract 1106.01, Suffolk County, Massachusetts",25,025,110601
5077,4335,296,12,132,0,177,125,5077,4590,487,"Census Tract 1106.07, Suffolk County, Massachusetts",25,025,110607
1508,1321,55,2,54,0,20,56,1508,1431,77,"Census Tract 1201.03, Suffolk County, Massachusetts",25,025,120103
2095,1553,189,5,126,0,149,73,2095,1688,407,"Census Tract 1201.04, Suffolk County, Massachusetts",25,025,120104
2444,1977,125,8,210,1,27,96,2444,2294,150,"Census Tract 1201.05, Suffolk County, Massachusetts",25,025,120105
3439,2186,596,18,118,0,374,147,3439,2639,800,"Census Tract 1202.01, Suffolk County, Massachusetts",25,025,120201
4795,2524,950,45,138,0,843,295,4795,2974,1821,"Census Tract 1203.01, Suffolk County, Massachusetts",25,025,120301
5751,4644,428,25,262,2,186,204,5751,5185,566,"Census Tract 1204, Suffolk County, Massachusetts",25,025,120400
2331,1184,347,38,63,0,529,170,2331,1136,1195,"Census Tract 1205, Suffolk County, Massachusetts",25,025,120500
2335,1888,132,8,81,1,108,117,2335,2034,301,"Census Tract 1206, Suffolk County, Massachusetts",25,025,120600
2014,1415,205,4,169,1,138,82,2014,1660,354,"Census Tract 1207, Suffolk County, Massachusetts",25,025,120700
5906,4949,202,4,523,0,92,136,5906,5641,265,"Census Tract 1301, Suffolk County, Massachusetts",25,025,130100
4506,4054,121,14,210,1,28,78,4506,4299,207,"Census Tract 1302, Suffolk County, Massachusetts",25,025,130200
4419,3817,170,3,232,2,90,105,4419,4149,270,"Census Tract 1303, Suffolk County, Massachusetts",25,025,130300
4637,3858,207,4,389,3,102,74,4637,4337,300,"Census Tract 1304.02, Suffolk County, Massachusetts",25,025,130402
2901,2226,232,3,232,1,154,53,2901,2552,349,"Census Tract 1304.04, Suffolk County, Massachusetts",25,025,130404
5107,1931,2230,18,256,0,473,199,5107,4047,1060,"Census Tract 1304.06, Suffolk County, Massachusetts",25,025,130406
4401,1948,1808,8,91,4,377,165,4401,3646,755,"Census Tract 1401.02, Suffolk County, Massachusetts",25,025,140102
3675,1659,1336,13,67,2,431,167,3675,2720,955,"Census Tract 1401.05, Suffolk County, Massachusetts",25,025,140105
1901,457,1004,14,31,0,284,111,1901,1306,595,"Census Tract 1401.06, Suffolk County, Massachusetts",25,025,140106
2531,1162,962,16,58,0,215,118,2531,1913,618,"Census Tract 1401.07, Suffolk County, Massachusetts",25,025,140107
2072,1082,651,10,51,0,196,82,2072,1731,341,"Census Tract 1402.01, Suffolk County, Massachusetts",25,025,140201
5600,2768,1938,28,118,8,505,235,5600,4465,1135,"Census Tract 1402.02, Suffolk County, Massachusetts",25,025,140202
6382,1667,3667,27,85,4,681,251,6382,4908,1474,"Census Tract 1403, Suffolk County, Massachusetts",25,025,140300
7650,1028,5683,58,73,4,520,284,7650,6421,1229,"Census Tract 1404, Suffolk County, Massachusetts",25,025,140400
7551,3096,600,125,157,0,3156,417,7551,1836,5715,"Census Tract 1601.01, Suffolk County, Massachusetts",25,025,160101
4043,1232,231,34,51,1,2256,238,4043,696,3347,"Census Tract 1602, Suffolk County, Massachusetts",25,025,160200
2065,1551,180,9,39,0,195,91,2065,1604,461,"Census Tract 1603, Suffolk County, Massachusetts",25,025,160300
2716,1056,293,26,113,0,1040,188,2716,794,1922,"Census Tract 1604, Suffolk County, Massachusetts",25,025,160400
5604,2555,475,86,164,0,1920,404,5604,1648,3956,"Census Tract 1605.01, Suffolk County, Massachusetts",25,025,160501
4460,2183,327,29,168,0,1432,321,4460,1710,2750,"Census Tract 1605.02, Suffolk County, Massachusetts",25,025,160502
4063,2481,408,25,178,6,792,173,4063,2341,1722,"Census Tract 1606.01, Suffolk County, Massachusetts",25,025,160601
4675,2678,472,36,224,0,1035,230,4675,2693,1982,"Census Tract 1606.02, Suffolk County, Massachusetts",25,025,160602
7560,5445,407,36,347,7,1057,261,7560,5553,2007,"Census Tract 1701, Suffolk County, Massachusetts",25,025,170100
4564,3595,160,13,203,0,459,134,4564,3718,846,"Census Tract 1702, Suffolk County, Massachusetts",25,025,170200
9040,7183,487,14,514,1,605,236,9040,7820,1220,"Census Tract 1703, Suffolk County, Massachusetts",25,025,170300
5379,4007,336,19,241,2,577,197,5379,4173,1206,"Census Tract 1704, Suffolk County, Massachusetts",25,025,170400
3435,2664,155,11,191,0,299,115,3435,2621,814,"Census Tract 1705.01, Suffolk County, Massachusetts",25,025,170501
2818,2507,80,15,76,0,79,61,2818,2552,266,"Census Tract 1705.02, Suffolk County, Massachusetts",25,025,170502
5105,3733,143,15,191,0,849,174,5105,3590,1515,"Census Tract 1706.01, Suffolk County, Massachusetts",25,025,170601
2099,1638,100,8,96,1,190,66,2099,1561,538,"Census Tract 1707.01, Suffolk County, Massachusetts",25,025,170701
6628,3581,394,24,924,0,1408,297,6628,3735,2893,"Census Tract 1707.02, Suffolk County, Massachusetts",25,025,170702
5118,3987,256,31,105,2,563,174,5118,3808,1310,"Census Tract 1708, Suffolk County, Massachusetts",25,025,170800
4766,4326,133,6,57,0,149,95,4766,4487,279,"Census Tract 1801.01, Suffolk County, Massachusetts",25,025,180101
4109,3767,88,9,58,0,116,71,4109,3843,266,"Census Tract 1802, Suffolk County, Massachusetts",25,025,180200
3024,2867,25,2,45,5,40,40,3024,2899,125,"Census Tract 1803.01, Suffolk County, Massachusetts",25,025,180301
1715,1602,25,1,8,0,48,31,1715,1622,93,"Census Tract 1804, Suffolk County, Massachusetts",25,025,180400
3883,3493,80,11,44,2,157,96,3883,3580,303,"Census Tract 1805, Suffolk County, Massachusetts",25,025,180500
535,210,217,2,8,1,79,18,535,401,134,"Census Tract 9801.01, Suffolk County, Massachusetts",25,025,980101
338,190,115,2,10,0,14,7,338,270,68,"Census Tract 9803, Suffolk County, Massachusetts",25,025,980300
6,5,0,0,0,1,0,0,6,6,0,"Census Tract 9807, Suffolk County, Massachusetts",25,025,980700
22,3,14,0,0,0,0,5,22,22,0,"Census Tract 9810, Suffolk County, Massachusetts",25,025,981000
418,129,246,0,14,0,22,7,418,333,85,"Census Tract 9811, Suffolk County, Massachusetts",25,025,981100
0,0,0,0,0,0,0,0,0,0,0,"Census Tract 9812.01, Suffolk County, Massachusetts",25,025,981201
207,184,16,0,2,1,3,1,207,170,37,"Census Tract 9812.02, Suffolk County, Massachusetts",25,025,981202
389,315,13,4,31,1,10,15,389,318,71,"Census Tract 9813, Suffolk County, Massachusetts",25,025,981300
12,8,3,0,1,0,0,0,12,11,1,"Census Tract 9815.01, Suffolk County, Massachusetts",25,025,981501
9,9,0,0,0,0,0,0,9,7,2,"Census Tract 9815.02, Suffolk County, Massachusetts",25,025,981502
0,0,0,0,0,0,0,0,0,0,0,"Census Tract 9816, Suffolk County, Massachusetts",25,025,981600
0,0,0,0,0,0,0,0,0,0,0,"Census Tract 9817, Suffolk County, Massachusetts",25,025,981700
82,73,5,0,3,0,0,1,82,79,3,"Census Tract 9818, Suffolk County, Massachusetts",25,025,981800
0,0,0,0,0,0,0,0,0,0,0,"Census Tract 9901.01, Suffolk County, Massachusetts",25,025,990101
